City_ID,City,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Khislavichi,2022-08-10 04:19:35,54.1871,32.1582,59.14,73,100,6.31,overcast clouds
161,Mpika,2022-08-10 04:19:36,-11.8343,31.4529,50.04,78,0,3.89,clear sky
162,Kavieng,2022-08-10 04:19:36,-2.5744,150.7967,80.08,81,94,6.96,moderate rain
163,Luderitz,2022-08-10 04:19:36,-26.6481,15.1594,54.1,82,5,8.34,clear sky
164,Tuatapere,2022-08-10 04:19:37,-46.1333,167.6833,45.68,75,100,1.5,overcast clouds
165,Vanavara,2022-08-10 04:19:37,60.34,102.2797,68.49,57,41,3.49,scattered clouds
166,Mar Del Plata,2022-08-10 04:19:38,-38.0023,-57.5575,44.94,90,0,8.01,clear sky
167,Boundiali,2022-08-10 04:16:09,9.5217,-6.4869,69.82,98,100,3.38,light rain
168,Rawson,2022-08-10 04:19:38,-43.3002,-65.1023,49.1,48,97,6.33,overcast clouds
169,Morros,2022-08-10 04:19:39,-9.4467,-46.3003,70.32,35,0,3.89,clear sky
170,Shelburne,2022-08-10 04:19:39,44.0787,-80.2041,56.23,85,10,3.22,clear sky
171,Vilyuysk,2022-08-10 04:19:40,63.7553,121.6247,68.77,51,68,8.14,broken clouds
172,Saint-Francois,2022-08-10 04:19:40,46.4154,3.9054,57.67,82,0,2.3,clear sky
173,Teguldet,2022-08-10 04:19:41,57.3064,88.1667,73.26,54,22,2.73,few clouds
174,Bukama,2022-08-10 04:19:41,-9.2,25.85,66.7,33,3,3.27,clear sky
175,Mandera,2022-08-10 04:19:41,3.9366,41.867,75.07,68,100,17.58,overcast clouds
176,Constitucion,2022-08-10 04:19:42,-35.3333,-72.4167,50.09,63,100,4.23,overcast clouds
177,Krasnoselkup,2022-08-10 04:19:42,65.7,82.4667,62.94,49,48,14.29,scattered clouds
178,Iralaya,2022-08-10 04:19:42,15.0,-83.2333,80.51,88,100,13.22,overcast clouds
179,Sistranda,2022-08-10 04:19:43,63.7256,8.834,58.96,84,100,30.18,overcast clouds
180,Pokhara,2022-08-10 04:19:43,28.2333,83.9833,79.09,88,83,5.82,broken clouds
181,San Francisco,2022-08-10 04:18:42,37.7749,-122.4194,66.99,88,20,13.8,few clouds
182,Dalby,2022-08-10 04:19:44,-27.1833,151.2667,65.28,37,2,9.57,clear sky
183,Upata,2022-08-10 04:19:44,8.0086,-62.3989,74.19,98,99,2.62,overcast clouds
184,Kaduna,2022-08-10 04:20:45,10.5222,7.4383,69.1,97,29,3.38,scattered clouds
185,Sao Gabriel Da Cachoeira,2022-08-10 04:20:04,-0.1303,-67.0892,74.03,88,56,1.52,broken clouds
186,Iranshahr,2022-08-10 04:20:45,27.2025,60.6848,95.34,31,0,6.91,clear sky
187,Parrita,2022-08-10 04:20:46,9.5201,-84.3225,78.49,87,100,2.1,overcast clouds
188,Nagato,2022-08-10 04:20:46,34.3833,131.2,87.55,68,100,12.73,overcast clouds
189,Bataipora,2022-08-10 04:20:46,-22.2953,-53.2711,52.3,90,48,8.7,scattered clouds
190,Havoysund,2022-08-10 04:20:47,70.9963,24.6622,52.03,77,89,5.14,overcast clouds
191,Lata,2022-08-10 04:20:47,40.1629,-8.3327,63.5,86,0,2.66,clear sky
192,Saanen,2022-08-10 04:20:48,46.4896,7.2596,61.79,80,5,4.05,clear sky
193,Gariadhar,2022-08-10 04:20:48,21.5333,71.5833,82.02,80,92,13.13,overcast clouds
194,Kodiak,2022-08-10 04:20:49,57.79,-152.4072,54.91,88,100,11.5,moderate rain
195,Necochea,2022-08-10 04:20:49,-38.5473,-58.7368,42.17,71,35,9.35,scattered clouds
196,Tianjin,2022-08-10 04:16:06,39.1422,117.1767,82.35,54,0,6.71,clear sky
197,Pangody,2022-08-10 04:20:50,65.85,74.4859,57.45,50,54,12.55,broken clouds
